QUESTION,CATEGORY,CORRECT ANSWER,WRONG 1,WRONG 2,WRONG 3
Soru deneme,Deneme,Dogru,Yanlis1,Yanlis2,Yanlis3
Kurtuluş Savaşı fiili olarak hangi tarihler arasında gerçekleşmiştir?,Tarih,1919-1922,1919-1921,1918-1922,1920-1922
Atatürk'ün başöğretmen sıfatını aldığı gün olan Öğretmenler Günü ülkemizde hangi tarihte kutlanmaktadır?,Tarih,24 Kasım,10 Ekim,16 Eylül,21 Aralık
Anadolu'nun kapısını Türklere açan savaş olarak da bilinen Malazgirt Savaşı hangi tarihte gerçekleşmiştir?,Tarih,1071,1058,1143,1284
Türkiye'de milletvekili seçimleri en son hangi tarihte gerçekleşmiştir?,Tarih,2023,2019,2021,2024
Dünya tarihinin dönüm noktalarından biri kabul edilen ve Yakın Çağı açan Fransız İhtilali hangi tarihte başlamıştır?,Tarih,1789,1768,1875,1819
Medeniyetlerin beşiği olarak da bilinen Mezopotamya bölgesi uygarlıklarının hangisinde ilk kütüphane kurulmuştur?,Tarih,Asur,Sümer,Elam,Babil
İslam Peygamberi Hz.Muhammed'in vefat tarihi hangi yıldır?,Tarih,632,598,617,631
Atatürk'ü Anma Gençlik ve Spor Bayramı olarak kutlanan bayramın bu yıl kaçıncısı kutlanacaktır?,Tarih,105,101,103,107
Zaman genellikle bilimin hangi alt kolu altında incelenir?,Bilim,Fizik,Kimya,Biyoloji,Elektronik
Dünya üzerinde herhangi 2 noktanın yerel saatleri aynı olabilmesi için hangi özellikleri aynı olmalıdır?,Bilim,Meridyen,Enlem,Açı,Paralel
28 çeken Şubat ayının 29 çekmesi olarak bilinen ve 4 yılda bir gerçekleşen Artık yıl bundan sonra ilk olarak hangi tarihte gerçekleşecektir?,Bilim,2028,2026,2025,2029
SI birim sistemine göre zamanın ölçü birimi nedir?,Bilim,Saniye,Saat,Dakika,Gün
Bir gün kaç dakikadan oluşur?,Bilim,1440,1680,2140,1080
Mısır medeniyeti Nil'in taşkınlarını hesaplayabilmek için hangi takvimi icat etmiştir?,Bilim,Güneş Takvimi,Hicri Takvim,Ay Takvimi,12 Hayvanlı Takvim
Albert Einstein'in çalışmalarından biri olan ve uzay-zaman arasındaki ilişkiyi ortaya koyan teorinin adı nedir?,Bilim,İzafiyet Teorisi,Büyük Patlama Teorisi,Kuantum Teorisi,Gezegensel Hareket Yasaları
Olayların tarihsel sıralamasıyla ilgilenen zaman bilimi olarak da adlandırılan bilim dalı nedir?,Bilim,Kronoloji,Antropoloji,Arkeoloji,Filoloji
Saatleri Ayarlama Enstitüsü ve Bursa'da Zaman gibi eserlerin yazarı olan ve Zaman şairi olarak da bilinen ünlü Türk edebiyatçısı kimdir?,Sanat,Ahmet Hamdi Tanpınar,Orhan Veli Kanık,Peyami Safa,Cahit Sıtkı Tarancı
Aşağıdaki filmlerden hangisi Zamanda Yolculuk konusunu işlemektedir?,Sanat,Interstellar,3 Idiots,Titanic,Truva
Eriyen Saatler ya da Belleğin Azmi olarak nitelendirilen ünlü tablo hangi sanatçıya aittir?,Sanat,Salvador Dali,Pablo Picasso,Frida Kahlo,Johannes Vermeer
Sertap Erener Everywhere That I Can şarkısıyla hangi yıl Eurovision Şarkı Yarışması'nı kazanmıştır?,Sanat,2003,2008,1996,2011
Rönesans hangi ülkede başlamıştır?,Sanat,İtalya,İspanya,Almanya,Fransa
